dataset,model,folder_path,top1,ECE,SCE,checkpoint_train_loss,checkpoint_train_top1,checkpoint_val_loss,checkpoint_val_top1,checkpoint_test_loss,checkpoint_test_top1,checkpoint_test_top3,checkpoint_test_top5,checkpoint_test_sce,checkpoint_test_ece
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-21:34:31.792320_cross_entropy,10.0,0.012576760351657862,0.0049435019493103026,2.3774788111368816,9.797777775065104,2.3047065210342406,9.88,2.30441793680191,10.0,30.0,50.0,0.0049435019493103026,0.012576760351657862
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:29:00.240797_cross_entropy,10.0,0.012585413338243968,0.004942003798959779,2.377383853318956,9.835555552842882,2.304707841873169,9.88,2.304446048736572,10.0,30.0,50.0,0.004942003798959779,0.012585413338243968
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:29:12.376290_NLL+MDCA_beta=1.0,10.0,0.013004662096500391,0.005513713210821153,2.4045945187038846,9.848888886176216,2.305082950592041,9.88,2.304647991657257,10.0,30.0,50.0,0.005513713210821153,0.013004662096500391
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:29:24.340242_FL+MDCA_gamma=1_beta=5.0,10.0,0.014398635923862452,0.006376231461763382,2.2928092842525905,10.197777775065104,2.308792371749878,9.88,2.3060914659500122,10.0,30.0,50.0,0.006376231461763382,0.014398635923862452
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:29:38.236803_FL+MDCA_gamma=1_beta=10.0,10.0,0.02007592618465423,0.010551665276288985,2.4395418993631997,9.899999997287326,2.3152371788024904,9.26,2.310915982723236,10.0,30.0,50.0,0.010551665276288985,0.02007592618465423
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:29:52.104165_focal_loss_gamma=1.0,10.0,0.013678298890590662,0.005234960466623306,2.1521919502682154,9.855555552842882,2.3051140832901003,9.88,2.3046552467346193,10.0,30.0,50.0,0.005234960466623306,0.013678298890590662
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:30:04.924131_focal_loss_gamma=2.0,10.0,0.014010445773601526,0.0052415825426578525,1.9502922389772204,9.842222219509548,2.3051482963562013,9.88,2.3046823358535766,10.0,30.0,50.0,0.0052415825426578525,0.014010445773601526
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:30:17.743939_FL+MDCA_gamma=1.0_beta=1.0,10.0,0.013902062177658076,0.005822167992591859,2.179640074708727,9.766666663953993,2.305324687957764,9.88,2.304845769405365,10.0,30.0,50.0,0.005822167992591859,0.013902062177658076
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:30:31.256304_FL+MDCA_gamma=1.0_beta=5.0,10.0,0.013426223397254938,0.0060967251658439634,2.2925365388234455,10.057777775065103,2.308728585243225,9.88,2.306090383529663,10.0,30.0,50.0,0.0060967251658439634,0.013426223397254938
cifar10,convnet2,trained_model_library/cifar10/convnet2/2022-12-30-22:30:44.844009_FL+MDCA_gamma=1.0_beta=10.0,10.21,0.020517731397598986,0.010570290755555036,2.4391397519429523,10.05333333062066,2.3117430114746096,10.08,2.308427138328552,10.21,30.34,50.54,0.010570290755555036,0.020517731397598986
